w_q1	w_q2	w_q3	w_q4	roc_auc	ap	lower_half_auc	q1_auc	knownness_spearman	objective
1.0	0.5	0.35	0.0	0.6969897404239058	0.48066133991738774	0.6969897404239058	0.6801351351351351	-0.08905144756963568	0.9803815616057233
1.0	0.8	0.0	0.0	0.6948437545932916	0.4758723652695334	0.6948437545932916	0.6801351351351351	-0.09854002894102686	0.9784581658271669
1.0	0.5	0.25	0.0	0.6948584531263781	0.47785162014563864	0.6948584531263781	0.6801351351351351	-0.08560931153197023	0.9774420816008005
1.0	0.5	0.2	0.0	0.6936972690125527	0.47606332809130064	0.6936972690125527	0.6801351351351351	-0.08383729458966152	0.9758488401031341
0.8	0.15	0.0	0.0	0.6923009083693448	0.4591249241195859	0.6923009083693448	0.681081081081081	-0.09103603250741066	0.9748211802244359
1.0	0.5	0.15	0.0	0.69293294529206	0.4737997993602706	0.69293294529206	0.6801351351351351	-0.08252756180924357	0.9747886568300848
1.0	0.65	0.0	0.0	0.6918452538436665	0.4731534764671166	0.6918452538436665	0.6801351351351351	-0.08826256217944195	0.9738878425492087
1.0	0.5	0.1	0.0	0.6912426139871242	0.4717376761908136	0.6912426139871242	0.6801351351351351	-0.07988071368889663	0.9724639948492872
1.0	0.35	0.35	0.0	0.6901990181379898	0.47357012950370125	0.6901990181379898	0.6801351351351351	-0.07198560280956079	0.9705278911675224
1.0	0.35	0.25	0.0	0.6864802892671312	0.46946986485430686	0.6864802892671312	0.6801351351351351	-0.06854346591204753	0.9656041091271481
1.0	0.5	0.0	0.0	0.6860981274068848	0.4679796294920436	0.6860981274068848	0.6801351351351351	-0.07395128629442886	0.9655590324324306
0.8	0.0	0.0	0.0	0.6846135755651586	0.44782338949221806	0.6846135755651586	0.681081081081081	-0.07464132905582366	0.9639004379430762
1.0	0.25	0.25	0.0	0.6854954875503425	0.4652450153166644	0.6854954875503425	0.6801351351351351	-0.06223487943428037	0.9638684200629409
1.0	0.35	0.2	0.0	0.6851427227562689	0.46803941870072907	0.6851427227562689	0.6801351351351351	-0.06677144896973883	0.9637903896331855
1.0	0.35	0.15	0.0	0.6842167151718258	0.4668729440430163	0.6842167151718258	0.6801351351351351	-0.0654617161893209	0.9625281015301982
1.0	0.25	0.2	0.0	0.6831437222565188	0.46367159626126686	0.6831437222565188	0.6801351351351351	-0.0604628617485935	0.9607869520308062
1.0	0.35	0.1	0.0	0.6825851779992357	0.46562069062086425	0.6825851779992357	0.6801351351351351	-0.06281486806897395	0.9602769322148328
1.0	0.25	0.15	0.0	0.6819531410765206	0.46263675825950357	0.6819531410765206	0.6801351351351351	-0.05915312896817556	0.9591939469333751
1.0	0.25	0.1	0.0	0.6802922068377576	0.4610378189255325	0.6802922068377576	0.6801351351351351	-0.05650628084782863	0.9569060312852936
1.0	0.15	0.15	0.0	0.6804244936355353	0.4556881968510676	0.6804244936355353	0.6801351351351351	-0.05317403740805265	0.9568048103073337
1.0	0.35	0.0	0.0	0.6777346620807243	0.4609700801789124	0.6777346620807243	0.6801351351351351	-0.056885440674506176	0.9537394331251362
1.0	0.15	0.1	0.0	0.6778081547461563	0.45387311172484013	0.6778081547461563	0.6801351351351351	-0.05052718865255678	0.9533226387951701
1.0	0.25	0.0	0.0	0.675059529059	0.4577290447206053	0.675059529059	0.6801351351351351	-0.05057685345336085	0.9498908298702892
1.0	0.15	0.0	0.0	0.6721345209748066	0.4501919423954388	0.6721345209748066	0.6801351351351351	-0.044597761258089	0.9457562423894257
1.0	0.0	0.0	0.0	0.6642855043066701	0.4367515795476966	0.6642855043066701	0.6801351351351351	-0.028234566198012484	0.934635915949449
