base	extras	n_features	weight_mode	l2	roc_auc	ap	lower_half_auc	lowest_quartile_auc	knownness_spearman	objective	columns
natural_core	clinical_context_fraction_norm,A_recurrence_norm	10	source_balanced+class_balanced	5.0	0.7994946557755513	0.7076227804018133	0.7317003263074345	0.6397635135135135	0.5220137804766267	1.2129799059450777	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,host_taxon_evenness_norm,A_recurrence_norm	11	source_balanced+class_balanced	4.0	0.7972565139619516	0.6823709078566789	0.7370505923508833	0.6454391891891892	0.5310272887476422	1.212915034232985	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|host_taxon_evenness_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm	10	source_balanced+class_balanced	3.5	0.7995299021033246	0.707150412654429	0.7317150248405209	0.6395608108108108	0.5221284256113093	1.2129004192595445	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,host_taxon_evenness_norm,A_recurrence_norm	11	source_balanced+class_balanced	3.5	0.7971595865605752	0.6819383254220892	0.7371534820824882	0.645304054054054	0.5306374173193331	1.212890775283937	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|host_taxon_evenness_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,A_recurrence_norm	10	source_balanced+class_balanced	3.0	0.7995563368491545	0.7070475080659183	0.7316415321750889	0.6394932432432432	0.5220608255808507	1.2128876261746824	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,host_taxon_evenness_norm,A_recurrence_norm	11	source_balanced+class_balanced	5.0	0.7973181950355547	0.6821249077817012	0.7369036070200194	0.6454391891891892	0.531328339772281	1.2128500076846265	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|host_taxon_evenness_norm|A_recurrence_norm
natural_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	3.5	0.8035083313507274	0.7107798732221823	0.7316709292412618	0.6364527027027027	0.5326124378709897	1.212843763333638	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pathogenic_context_fraction_norm	11	source_balanced	3.5	0.7849819803149259	0.679925610328907	0.7187215215921451	0.6305067567567567	0.42968042736226836	1.2128424465721501	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pathogenic_context_fraction_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,host_taxon_evenness_norm	11	source_balanced+class_balanced	3.5	0.7875241217055698	0.664670746976694	0.7242775670988035	0.6327364864864865	0.4520107092835362	1.212750011788186	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|host_taxon_evenness_norm
natural_core	clinical_context_fraction_norm,host_taxon_evenness_norm,A_recurrence_norm	11	source_balanced+class_balanced	3.0	0.7971111228598871	0.6823957568109275	0.737035893817797	0.6450337837837837	0.5304592723852881	1.2127240703024966	T_eff_norm|H_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|host_taxon_evenness_norm|A_recurrence_norm
