model_name	feature_name	coefficient	standard_error	coefficient_ci_lower	coefficient_ci_upper	abs_coefficient	direction	n_backbones
structured_signal_priority	host_taxon_evenness_norm	0.48302639149750715	0.3288496326946822	-0.16150704491329537	1.1275598279083097	0.48302639149750715	positive	989
structured_signal_priority	mash_neighbor_distance_train_norm	0.4610536501789444	0.3804856771628668	-0.28468457369360867	1.2067918740514973	0.4610536501789444	positive	989
structured_signal_priority	backbone_purity_norm	-0.40290847387653095	0.25615244076705246	-0.9049580323319832	0.09914108457892135	0.40290847387653095	negative	989
structured_signal_priority	mean_n_replicon_types_norm	-0.3652738372058475	0.40569830969455273	-1.160427912795948	0.42988023838425293	0.3652738372058475	negative	989
structured_signal_priority	H_external_host_range_norm	-0.22602663118949096	0.13150595868641787	-0.48377357396728227	0.031720311588300354	0.22602663118949096	negative	989
structured_signal_priority	replicon_architecture_norm	0.21300802353595366	0.2672687126487027	-0.31082902744988844	0.7368450745217958	0.21300802353595366	positive	989
structured_signal_priority	H_phylogenetic_augmented_specialization_norm	-0.19912151376640572	0.10268256052630287	-0.40037563423831357	0.0021326067055021103	0.19912151376640572	negative	989
structured_signal_priority	assignment_confidence_norm	0.0	0.7071067794187805	-1.3859038208849181	1.3859038208849181	0.0	positive	989
support_synergy_priority	H_external_host_range_support	-1.4702233756807794	0.5669520469080898	-2.581428968581899	-0.3590177827796601	1.4702233756807794	negative	989
support_synergy_priority	clinical_context_fraction_norm	0.9870616428506407	0.47433548598139885	0.05738117373779528	1.9167421119634862	0.9870616428506407	positive	989
support_synergy_priority	amr_support_norm	0.8472412947049153	0.500947199763141	-0.13459717498703283	1.8290797643968633	0.8472412947049153	positive	989
support_synergy_priority	H_obs_specialization_norm	0.8325872702159111	0.2992373808741963	0.24609278087439146	1.4190817595574305	0.8325872702159111	positive	989
support_synergy_priority	amr_support_norm_residual	-0.7785394215932305	0.3987021514982662	-1.5599812790884646	0.002902435902003564	0.7785394215932305	negative	989
support_synergy_priority	evolutionary_jump_score_norm	0.765325229260543	0.45083784139460076	-0.11830070274065563	1.6489511612617416	0.765325229260543	positive	989
support_synergy_priority	amr_load_density_norm	0.727602693282484	0.4006691754409622	-0.0576944602971623	1.5128998468621302	0.727602693282484	positive	989
support_synergy_priority	clinical_A_synergy_norm	-0.686253023323085	0.6308070355377189	-1.922612094171492	0.5501060475253219	0.686253023323085	negative	989
