backbone_id	mean_jump_distance_km	max_jump_distance_km	jump_distance_dispersion_km	interregional_leap_count	long_jump_label
AC716	0.0	0.0	0.0	4	1.0
AD641	0.0	0.0	0.0	2	
AD745	0.0	0.0	0.0	4	
AH281	0.0	0.0	0.0	2	
AD825	0.0	0.0	0.0	4	
AG200	0.0	0.0	0.0	1	
AB341	0.0	0.0	0.0	2	
AA775	0.0	0.0	0.0	5	
AD826	0.0	0.0	0.0	3	
AC929	0.0	0.0	0.0	1	
AB355	0.0	0.0	0.0	3	
AF971	0.0	0.0	0.0	1	
AB412	0.0	0.0	0.0	4	
AC373	0.0	0.0	0.0	3	
AB340	0.0	0.0	0.0	3	
AC368	0.0	0.0	0.0	0	
AA262	0.0	0.0	0.0	2	
AA385	0.0	0.0	0.0	1	
AC639	0.0	0.0	0.0	1	
AA781	0.0	0.0	0.0	1	1.0
AA938	0.0	0.0	0.0	1	1.0
AC048	0.0	0.0	0.0	0	
AD256	0.0	0.0	0.0	2	
AB575	0.0	0.0	0.0	2	1.0
AG781	0.0	0.0	0.0	4	
AC742	0.0	0.0	0.0	3	
AC741	0.0	0.0	0.0	5	
AF827	0.0	0.0	0.0	0	
AD835	0.0	0.0	0.0	0	
AG600	0.0	0.0	0.0	4	
AB434	0.0	0.0	0.0	1	1.0
AG640	0.0	0.0	0.0	3	1.0
AA628	0.0	0.0	0.0	2	
AE787	0.0	0.0	0.0	5	
AB628	0.0	0.0	0.0	4	1.0
AC796	0.0	0.0	0.0	4	
AB947	0.0	0.0	0.0	4	1.0
AC888	0.0	0.0	0.0	3	1.0
AB720	0.0	0.0	0.0	3	1.0
AA841	0.0	0.0	0.0	1	
AB697	0.0	0.0	0.0	3	
AA050	0.0	0.0	0.0	4	1.0
AA849	0.0	0.0	0.0	1	
AB045	0.0	0.0	0.0	5	1.0
AA274	0.0	0.0	0.0	5	1.0
AC759	0.0	0.0	0.0	1	
AB120	0.0	0.0	0.0	2	
AC887	0.0	0.0	0.0	2	
AB643	0.0	0.0	0.0	4	
AA010	0.0	0.0	0.0	3	
AD644	0.0	0.0	0.0	1	1.0
AA316	0.0	0.0	0.0	4	1.0
AA374	0.0	0.0	0.0	6	
AA046	0.0	0.0	0.0	4	1.0
AB157	0.0	0.0	0.0	1	
AD308	0.0	0.0	0.0	2	
AE803	0.0	0.0	0.0	3	
AC863	0.0	0.0	0.0	3	
AB695	0.0	0.0	0.0	5	
AB448	0.0	0.0	0.0	4	
AG846	0.0	0.0	0.0	2	
AA754	0.0	0.0	0.0	2	
AB692	0.0	0.0	0.0	4	
AB062	0.0	0.0	0.0	4	
AD507	0.0	0.0	0.0	1	
AD506	0.0	0.0	0.0	0	
AA941	0.0	0.0	0.0	5	1.0
AC611	0.0	0.0	0.0	1	
AD680	0.0	0.0	0.0	1	
AF650	0.0	0.0	0.0	0	
AB461	0.0	0.0	0.0	3	
AB712	0.0	0.0	0.0	2	
AA102	0.0	0.0	0.0	4	
AA188	0.0	0.0	0.0	1	
AA673	0.0	0.0	0.0	4	1.0
AD885	0.0	0.0	0.0	2	
AA615	0.0	0.0	0.0	3	
AF201	0.0	0.0	0.0	2	
AA609	0.0	0.0	0.0	1	1.0
AA668	0.0	0.0	0.0	6	1.0
AA551	0.0	0.0	0.0	4	1.0
AD488	0.0	0.0	0.0	4	1.0
AD306	0.0	0.0	0.0	4	
AB187	0.0	0.0	0.0	4	1.0
AE607	0.0	0.0	0.0	1	
