model_name	outcome_name	status	roc_auc	average_precision	positive_prevalence	precision_at_top_25	recall_at_top_25	n_backbones	n_positive
adaptive_support_calibrated_blend_priority	long_jump_label	ok	0.8670507565797954	0.9085999968341082	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_support_synergy_blend_priority	macro_region_jump_label	ok	0.8992859536514319	0.9286136989331827	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_support_synergy_blend_priority	host_family_jump_label	ok	0.7194278169887925	0.47444152429801595	0.2901921132457027	0.52	0.04529616724738676	989	287
adaptive_support_synergy_blend_priority	host_order_jump_label	ok	0.6969237816695444	0.35527253292210204	0.224469160768453	0.36	0.04054054054054054	989	222
adaptive_support_synergy_blend_priority	event_within_1y_label	ok	0.8632719352597683	0.46882154569211987	0.1243680485338726	0.48	0.0975609756097561	989	123
adaptive_support_synergy_blend_priority	event_within_3y_label	ok	0.8747727499750275	0.7253426722793452	0.2871587462082912	0.84	0.07394366197183098	989	284
adaptive_support_synergy_blend_priority	event_within_5y_label	ok	0.8953503601833661	0.8853016631339108	0.48533872598584427	1.0	0.052083333333333336	989	480
adaptive_support_synergy_blend_priority	three_countries_within_3y_label	ok	0.925201947704692	0.4944978489061754	0.0788675429726997	0.48	0.15384615384615385	989	78
adaptive_support_synergy_blend_priority	three_countries_within_5y_label	ok	0.9298317507522627	0.8082158523337326	0.22548028311425683	0.96	0.10762331838565023	989	223
adaptive_support_synergy_blend_priority	long_jump_label	ok	0.8992859536514319	0.9286136989331827	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_host_transfer_synergy_blend_priority	macro_region_jump_label	ok	0.8690055766074636	0.9035462422387921	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_host_transfer_synergy_blend_priority	host_family_jump_label	ok	0.7151543127152883	0.46340566781737996	0.2901921132457027	0.52	0.04529616724738676	989	287
adaptive_host_transfer_synergy_blend_priority	host_order_jump_label	ok	0.689940918754478	0.34431696350759783	0.224469160768453	0.4	0.04504504504504504	989	222
adaptive_host_transfer_synergy_blend_priority	event_within_1y_label	ok	0.8280572297639835	0.4031244957654056	0.1243680485338726	0.52	0.10569105691056911	989	123
adaptive_host_transfer_synergy_blend_priority	event_within_3y_label	ok	0.8356807511737089	0.65867248730707	0.2871587462082912	0.88	0.07746478873239436	989	284
adaptive_host_transfer_synergy_blend_priority	event_within_5y_label	ok	0.8554232154551408	0.8300853668692946	0.48533872598584427	0.96	0.05	989	480
adaptive_host_transfer_synergy_blend_priority	three_countries_within_3y_label	ok	0.8739761884657604	0.37918697979637206	0.0788675429726997	0.44	0.14102564102564102	989	78
adaptive_host_transfer_synergy_blend_priority	three_countries_within_5y_label	ok	0.8814235033778641	0.7044977540220652	0.22548028311425683	0.96	0.10762331838565023	989	223
adaptive_host_transfer_synergy_blend_priority	long_jump_label	ok	0.8690055766074636	0.9035462422387921	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_threat_architecture_blend_priority	macro_region_jump_label	ok	0.8629434863678155	0.9006983812251893	0.6097067745197169	1.0	0.04145936981757877	989	603
adaptive_threat_architecture_blend_priority	host_family_jump_label	ok	0.7168170582804729	0.46422066307143195	0.2901921132457027	0.52	0.04529616724738676	989	287
adaptive_threat_architecture_blend_priority	host_order_jump_label	ok	0.6913856490127677	0.34476453929088546	0.224469160768453	0.4	0.04504504504504504	989	222
adaptive_threat_architecture_blend_priority	event_within_1y_label	ok	0.8255318349950244	0.40207644750268207	0.1243680485338726	0.52	0.10569105691056911	989	123
adaptive_threat_architecture_blend_priority	event_within_3y_label	ok	0.8303965637798422	0.656391079020308	0.2871587462082912	0.88	0.07746478873239436	989	284
adaptive_threat_architecture_blend_priority	event_within_5y_label	ok	0.8497626064178126	0.8274105984557546	0.48533872598584427	0.96	0.05	989	480
adaptive_threat_architecture_blend_priority	three_countries_within_3y_label	ok	0.8710630752343156	0.3820673123007431	0.0788675429726997	0.44	0.14102564102564102	989	78
adaptive_threat_architecture_blend_priority	three_countries_within_5y_label	ok	0.8787188703766582	0.7046603667974393	0.22548028311425683	0.96	0.10762331838565023	989	223
adaptive_threat_architecture_blend_priority	long_jump_label	ok	0.8629434863678155	0.9006983812251893	0.6097067745197169	1.0	0.04145936981757877	989	603
baseline_both	macro_region_jump_label	ok	0.68241907904347	0.7907599296821611	0.6097067745197169	1.0	0.04145936981757877	989	603
baseline_both	host_family_jump_label	ok	0.6075647478086502	0.4190309057229255	0.2901921132457027	0.68	0.059233449477351915	989	287
baseline_both	host_order_jump_label	ok	0.6011223087494274	0.33000849033709484	0.224469160768453	0.56	0.06306306306306306	989	222
baseline_both	event_within_1y_label	ok	0.7294635648435006	0.34551346833944546	0.1243680485338726	0.6	0.12195121951219512	989	123
baseline_both	event_within_3y_label	ok	0.7104160423534113	0.5588797407433552	0.2871587462082912	0.8	0.07042253521126761	989	284
baseline_both	event_within_5y_label	ok	0.6949001309757695	0.7047456193217186	0.48533872598584427	0.92	0.04791666666666667	989	480
baseline_both	three_countries_within_3y_label	ok	0.8213290551380562	0.3144631019909308	0.0788675429726997	0.48	0.15384615384615385	989	78
baseline_both	three_countries_within_5y_label	ok	0.7548297017878678	0.5376098378168785	0.22548028311425683	0.8	0.08968609865470852	989	223
baseline_both	long_jump_label	ok	0.68241907904347	0.7907599296821611	0.6097067745197169	1.0	0.04145936981757877	989	603
