backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AA114	1	1	Klebsiella	rep_cluster_2373			
AB187	1	1	Klebsiella	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCOPEPTIDE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,PHOSPHONIC ACID,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AB130	1	1	Citrobacter	Col(VCM04)	MPF_T	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,FLUOROQUINOLONE,FOSFOMYCIN,MACROLIDE,PENAM,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BRUCELLA
AB045	1	1	Klebsiella	ColRNAI_rep_cluster_1987			PEG
AB039	1	1	Citrobacter	ColRNAI_rep_cluster_1987		AMINOGLYCOSIDE	GRDA
AA536	0	0	Citrobacter	rep_cluster_2335			
AA831	1	1	Phytobacter	IncFIB	MPF_F	AMINOGLYCOSIDE,SULFONAMIDE	PCOA
AB272	1	1	Shigella	IncFIA	MPF_Unknown	FLUOROQUINOLONE,MACROLIDE,PENAM,TETRACYCLINE	CAPU
AA543	1	1	Pantoea	IncHI1B	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AE108	0	0	Klebsiella	IncFIA	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE	AADA
AA043	0	0	Klebsiella	IncFIB	MPF_F		MERE
AA026	1	1	Klebsiella	rep_cluster_1418	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,COLISTIN,DIAMINOPYRIMIDINE,PEPTIDE,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AD529	1	1	Klebsiella	rep_cluster_2350		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,FLUOROQUINOLONE,MONOBACTAM,PENAM,PENEM	AAC
AB979	1	1	Bacillus	rep_cluster_169	MPF_T	MACROLIDE,STREPTOGRAMIN	MEFF
AB999	1	1	Bacillus	rep_cluster_2006			
AD181	0	0	Bacillus				
AA656	0	0	Bacillus	rep_cluster_617			
AB427	0	0	Bacillus	rep_cluster_1721	MPF_F		
AD536	0	0	Bacillus	rep_cluster_757			
AA951	0	0	Bacillus	rep_cluster_163	MPF_T		
AA783	1	1	Bacillus	rep_cluster_125	MPF_T	CARBAPENEM,CEPHALOSPORIN,GLYCOPEPTIDE,TETRACYCLINE	VANYGENE
AB897	0	0	Streptomyces	rep_cluster_1879			
AF417	0	0	Streptomyces	rep_cluster_249			
AC654	1	1	Ligilactobacillus	rep_cluster_707		AMINOGLYCOSIDE,FLUOROQUINOLONE,PENAM,TETRACYCLINE	MDEA
AF479	1	1	Ligilactobacillus	rep_cluster_1685		AMINOGLYCOSIDE,LINCOSAMIDE,MACROLIDE	MYRA
AA673	1	1	Salmonella	rep_cluster_2350			
AD168	1	1	Shigella	rep_cluster_2335			
AA580	0	0	Salmonella	rep_cluster_1778			
AB002	1	1	Salmonella	rep_cluster_1704			
AA297	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SENB
AG874	0	0	Sedimenticola	rep_cluster_1764			
AH306	0	0	Calothrix				
AF744	0	0	Calothrix				
AF750	0	0	Calothrix	rep_cluster_1679			
AC309	1	1	Listeria	rep_cluster_110		AMINOGLYCOSIDE,BACITRACIN,LINCOSAMIDE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PHENICOL,TETRACYCLINE	CADC
