backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AA827	6	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB686	11	3.0	5.0						
AD443	11	1.0	4.0						
AC676	3	6.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0
AF036	2	6.0							
AF114	4	3.0	6.0						
AD858	3	2.0	6.0						
AD860	5	5.0	6.0						
AD247	3	6.0	7.0						
AC353	1	8.0							
AD076	5	2.0	5.0						
AE070	4	6.0	8.0						
AA132	5	5.0	7.0						
AA081	4	3.0	6.0						
AB413	10	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AC935	9	1.0	4.0						
AB756	13	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AD910	10	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AD909	5	1.0	6.0						
AC731	13	1.0	1.0						
AE672	12	3.0	4.0						
AC534	2	5.0		0.0	0.0	1.0	0.0	0.0	1.0
AA890	11	4.0	4.0						
AB615	11	1.0	4.0						
AA892	9	4.0	5.0						
AB918	13	1.0	2.0						
AB173	15	1.0	4.0						
AC733	12	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AF344	5	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AD563	2	4.0							
AC843	0								
AF026	2	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AF876	3	3.0	8.0						
AA855	11	4.0	5.0						
AB134	5	4.0	7.0						
AD726	1	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AC535	10	2.0	4.0						
AA891	12	1.0	3.0						
AA287	2	8.0							
AF464	3	1.0	8.0						
AC716	10	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AD641	3	3.0	8.0						
AD745	8	3.0	5.0						
AH281	3	3.0	8.0						
AD825	9	4.0	5.0						
AG200	1	3.0							
AB341	2	3.0							
AA775	8	4.0	5.0						
AD826	4	3.0	7.0						
AC929	2	3.0							
AB355	4	3.0	7.0						
AF971	2	3.0							
AB412	5	3.0	4.0						
AC373	6	2.0	4.0						
AB340	8	1.0	5.0						
AC368	0								
AA262	4	2.0	6.0						
AA385	1	6.0							
AC639	2	2.0							
AA781	4	2.0	6.0	0.0	1.0	1.0	0.0	0.0	2.0
AA938	5	2.0	6.0	0.0	1.0	1.0	0.0	0.0	3.0
AC048	0								
AD256	3	6.0	8.0						
AB575	5	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AG781	6	5.0	5.0						
AC742	4	2.0	5.0						
AC741	9	1.0	2.0						
AF827	0								
AD835	0								
AG600	8	5.0	5.0						
AB434	6	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AG640	7	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AA628	5	1.0	3.0						
