backbone_id	member_count_train	n_countries_train	spread_label	backbone_purity_score	genus_purity_train	family_purity_train	mobility_purity_train	replicon_purity_train	mean_n_replicon_types_train	multi_replicon_fraction_train	primary_replicon_diversity_train	replicon_architecture_norm	assignment_primary_fraction	assignment_confidence_score	mash_neighbor_distance_train_mean
UNSEEN::AE405	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC419	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AG695	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AH055	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF131	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AG030	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD658	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA455	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF089	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AH075	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE971	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC075	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE638	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF267	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AB691	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC029	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC061	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AD758	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA823	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE862	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AB626	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AG885	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA946	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AH022	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AH305	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE129	3	0		0.875	1.0	1.0	1.0	0.5	0.6666666666666666	0.0	0.5	0.1223032069970845	0.0	0.5	0.1973206666666666
AF214	1	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AB099	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AD652	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AF681	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AF793	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AF792	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AA989	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AE729	1	1	0.0	0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AF454	2	2	1.0	0.75	0.5	0.5	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AD804	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA305	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AF911	2	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.063487
AG387	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AB645	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AC745	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
