pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
environmental	AD058	high	0.6254311954412592	0.9559694403616132	primary_model_oof_prediction	Enterococcus_faecalis	Enterococcus	ErmB,erm(B),cfr(D),fexA,poxtA	MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,PHENICOL,PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN,PHENICOL/OXAZOLIDINONE	3884	1652	0.4253347064881565	4	cfr(D),erm(B),fexA,poxtA	USA:IA:113,USA:MN:88,New Zealand:88	True
environmental	AA619	high	0.7728512785811102	0.9940896460313516	primary_model_oof_prediction	Escherichia_coli	Escherichia	mcr-1.1,MCR-1.26,mcr-1.26,cfr,cfrA	COLISTIN,PEPTIDE ANTIBIOTIC,BETA-LACTAM,AMINOGLYCOSIDE,LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	86981	1626	0.0186937377128338	3	cfr,mcr-1.1,mcr-1.26	China: Henan province:134,China: Zhejiang:93,China: Shandong province:75	True
environmental	AB192	high	0.8593821275372121	0.9796685489499538	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	tet(A),sul1,qacEdelta1,blaTEM-1,qnrS1	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,TRIMETHOPRIM,QUATERNARY AMMONIUM	3069	1549	0.5047246660149886	4	blaTEM-1,qnrS1,sul1,tet(A)	Czechia:125,China:94,USA: Virginia:82	True
environmental	AA449	high	0.909710073215597	0.9897998994835652	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	blaTEM-1,tet(A),sul1,qacEdelta1,Mrx	BETA-LACTAM,AMINOGLYCOSIDE,QUINOLONE,SULFONAMIDE,TETRACYCLINE	3069	1528	0.497882046269143	3	blaTEM-1,sul1,tet(A)	Czechia:124,China:93,USA: Virginia:82	True
environmental	AB193	high	0.8648421917972776	0.9981230984347892	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	aadA,aadA1,aadA2,sul1,blaTEM-1	AMINOGLYCOSIDE,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC,QUATERNARY AMMONIUM,SULFONAMIDE	3069	1395	0.4545454545454545	4	aadA1,aadA2,blaTEM-1,sul1	Czechia:107,China:88,USA: Virginia:82	True
environmental	AA553	high	0.8592081833026427	0.9719283327589616	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	aph(3'')-Ib,aph(6)-Id,sul2,merT,blaTEM-1	AMINOGLYCOSIDE,SULFONAMIDE,BETA-LACTAM,TRIMETHOPRIM,MERCURY	3069	1377	0.4486803519061583	4	aph(3'')-Ib,aph(6)-Id,blaTEM-1,sul2	Czechia:125,China:81,USA: Virginia:79	True
environmental	AB161	high	0.9170891963484564	0.9838707931304088	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	qacEdelta1,sul1,blaTEM-1,blaNDM-1,ble	BETA-LACTAM,QUATERNARY AMMONIUM,SULFONAMIDE,AMINOGLYCOSIDE,QUINOLONE	3069	1375	0.4480286738351254	4	blaNDM-1,blaTEM-1,ble,sul1	Czechia:107,USA: Virginia:82,China:74	True
environmental	AA026	high	0.600701290439552	0.9487330048008704	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaKPC-2,dfrA17	BETA-LACTAM,TRIMETHOPRIM,AMINOGLYCOSIDE,DIAMINOPYRIMIDINE ANTIBIOTIC,QUATERNARY AMMONIUM	3069	1353	0.4408602150537634	5	aph(3'')-Ib,aph(6)-Id,blaKPC-2,blaTEM-1,dfrA17	Czechia:125,USA: Virginia:79,China:70	True
environmental	AA440	high	0.8429681511790125	0.9838122825021876	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	mcr-8.1,mcr-8.2,blaTEM-1,floR,tet(A)	COLISTIN,BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,PHENICOL	3069	1342	0.4372759856630824	5	blaTEM-1,floR,mcr-8.1,mcr-8.2,tet(A)	Czechia:121,China:88,USA: Virginia:78	True
environmental	AA452	high	0.9254951690237548	0.9701191495743712	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	dfrA14,sul2,qnrB1,aph(6)-Id,aph(3'')-Ib	BETA-LACTAM,TRIMETHOPRIM,QUINOLONE,SULFONAMIDE,AMINOGLYCOSIDE	3069	1257	0.4095796676441838	5	aph(3'')-Ib,aph(6)-Id,dfrA14,qnrB1,sul2	Czechia:120,USA: Virginia:77,China:71	True
