backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	spread_severity_bin	weighted_new_country_burden	rarity_weighted_new_country_burden	exposure_years	new_country_rate_per_year	weighted_new_country_rate_per_year	rarity_weighted_new_country_rate_per_year	first_event_speed_score	third_event_speed_score	fast_or_broad_expansion_label
AD056	2	3.0			0.1310613004069089	1.9076288187292727	8	0.25	0.0163826625508636	0.2384536023411591	0.25	0.0	
AD057	3	4.0	7.0		0.1170966237398911	2.6796672943348407	8	0.375	0.0146370779674863	0.3349584117918551	0.2	0.125	
AD058	8	2.0	6.0	3.0	0.4148564485674565	7.3245032447740765	8	1.0	0.051857056070932	0.9155629055967596	0.3333333333333333	0.1428571428571428	
AD059	1	8.0			0.0192165610506021	0.7430740037950665	8	0.125	0.0024020701313252	0.0928842504743833	0.1111111111111111	0.0	
AD060	4	4.0	7.0		0.1522190547254845	3.538254676944519	8	0.5	0.0190273818406855	0.4422818346180648	0.2	0.125	
AD061	1	8.0			0.0488531968746031	0.960246679316888	8	0.125	0.0061066496093253	0.120030834914611	0.1111111111111111	0.0	
AD062	1	5.0			0.0222772959677056	0.7832634183069808	8	0.125	0.0027846619959632	0.0979079272883726	0.1666666666666666	0.0	
AD063	2	3.0			0.2243862863354099	1.7860917529982048	8	0.25	0.0280482857919262	0.2232614691247756	0.25	0.0	
AD064	1	3.0			0.0418121005003545	0.7893186003683241	8	0.125	0.0052265125625443	0.0986648250460405	0.25	0.0	
AD065	1	3.0			0.0949157995752499	0.9591160220994476	8	0.125	0.0118644749469062	0.1198895027624309	0.25	0.0	
AD066	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD067	0			0.0	0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD068	2	5.0			0.4274648515144653	1.742428634321043	8	0.25	0.0534331064393081	0.2178035792901303	0.1666666666666666	0.0	
AD069	2	5.0			0.1119879484896345	1.801873182494816	8	0.25	0.0139984935612043	0.225234147811852	0.1666666666666666	0.0	
AD070	1	6.0			0.049147318718299	0.9499939606232636	8	0.125	0.0061434148397873	0.1187492450779079	0.1428571428571428	0.0	
AD071	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD072	1	1.0			0.0652328073053442	0.8510773130544994	8	0.125	0.008154100913168	0.1063846641318124	0.5	0.0	
AD073	2	4.0			0.2125971761517645	1.9449840282208577	8	0.25	0.0265746470189705	0.2431230035276071	0.2	0.0	
AD074	2	5.0			0.7699762425327406	1.9692256305562088	8	0.25	0.0962470303165925	0.2461532038195261	0.1666666666666666	0.0	
AD075	2	5.0			0.0434983150058557	1.5352574227069131	8	0.25	0.0054372893757319	0.1919071778383641	0.1666666666666666	0.0	
AD076	5	2.0	5.0		0.6534350956636485	4.784752400401407	8	0.625	0.081679386957956	0.5980940500501759	0.3333333333333333	0.1666666666666666	
AD077	3	6.0	8.0		0.522905364230803	2.6754313325119883	8	0.375	0.0653631705288503	0.3344289165639985	0.1428571428571428	0.1111111111111111	
AD078	1	3.0			0.0390137157320435	0.7580110497237569	8	0.125	0.0048767144665054	0.0947513812154696	0.25	0.0	
AD079	1	3.0			0.0390137157320435	0.7580110497237569	8	0.125	0.0048767144665054	0.0947513812154696	0.25	0.0	
AD080	4	2.0	6.0		0.2750813157079023	3.621062460733288	8	0.5	0.0343851644634877	0.4526328075916609	0.3333333333333333	0.1428571428571428	
AD081	1	8.0			0.4082482904638631	0.9994307400379506	8	0.125	0.0510310363079828	0.1249288425047438	0.1111111111111111	0.0	
AD082	1	3.0			0.0390137157320435	0.7580110497237569	8	0.125	0.0048767144665054	0.0947513812154696	0.25	0.0	
AD083	3	2.0	7.0		0.2692235282365851	2.5468393776041207	8	0.375	0.0336529410295731	0.3183549222005151	0.3333333333333333	0.125	
AD084	2	2.0			0.0840004500724513	1.7020139768683662	8	0.25	0.0105000562590564	0.2127517471085457	0.3333333333333333	0.0	
AD085	3	5.0	8.0		0.0926513407873523	2.5661856194455006	8	0.375	0.011581417598419	0.3207732024306876	0.1666666666666666	0.1111111111111111	
AD086	2	2.0			0.0881395249747371	1.6983148560921244	8	0.25	0.0110174406218421	0.2122893570115155	0.3333333333333333	0.0	
AD087	1	4.0			0.078086880944303	0.9563249001331556	8	0.125	0.0097608601180378	0.1195406125166444	0.2	0.0	
AD088	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AD089	2	7.0			0.3205697836424948	1.9933935440709147	8	0.25	0.0400712229553118	0.2491741930088643	0.125	0.0	
