backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AA035	3	0.0	0.0	1.0	0.3
AA059	3	0.0	0.0	1.0	0.3
AA076	3	0.0	0.0	1.0	0.3
AA151	3	0.0	0.0	1.0	0.3
AA152	3	0.0	0.0	1.0	0.3
AA153	3	0.0	0.0	1.0	0.3
AA171	3	0.0	0.0	1.0	0.3
AA174	3	0.0	0.0	1.0	0.3
AA178	3	0.0	0.0	1.0	0.3
AA203	3	0.0	0.0	1.0	0.3
AA252	3	0.0	0.0	1.0	0.3
AA319	3	0.0	0.0	1.0	0.3
AA324	3	0.0	0.0	1.0	0.3
AA334	3	0.0	0.0	1.0	0.3
AA406	3	0.0	0.0	1.0	0.3
AA436	3	0.0	0.0	1.0	0.3
AA442	3	0.0	0.0	1.0	0.3
AA449	3	0.0	0.0	1.0	0.3
AA524	3	0.0	0.0	1.0	0.3
AA577	3	0.0	0.0	1.0	0.3
AA595	3	0.0	0.0	1.0	0.3
AA607	3	0.0	0.0	1.0	0.3
AA724	3	0.0	0.0	1.0	0.3
AA738	3	0.0	0.0	1.0	0.3
AA747	3	0.0	0.0	1.0	0.3
AA752	3	0.0	0.0	1.0	0.3
AA832	3	0.0	0.0	1.0	0.3
AA837	3	0.0	0.0	1.0	0.3
AA851	3	0.0	0.0	1.0	0.3
AA936	3	0.0	0.0	1.0	0.3
AA970	3	0.0	0.0	1.0	0.3
AA974	3	0.0	0.0	1.0	0.3
AB050	3	0.0	0.0	1.0	0.3
AB056	3	0.0	0.0	1.0	0.3
AB081	3	0.0	0.0	1.0	0.3
AB146	3	0.0	0.0	1.0	0.3
AB148	3	0.0	0.0	1.0	0.3
AB173	3	0.0	0.0	1.0	0.3
AB193	3	0.0	0.0	1.0	0.3
AB232	3	0.0	0.0	1.0	0.3
AB238	3	0.0	0.0	1.0	0.3
AB319	3	0.0	0.0	1.0	0.3
AB329	3	0.0	0.0	1.0	0.3
AB401	3	0.0	0.0	1.0	0.3
AB413	3	0.0	0.0	1.0	0.3
