backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AB440	0	1.0	0.3	5	8	7	7.142857142857143	False				
AE928	0	0.0	0.2	14	22	18	17.5	False				
AB240	0	1.0	0.06666666666666667	5	6	6	5.357142857142857	False				
AA977	1	0.6	0.049773755656108594	25	36	31	26.30952380952381	True	1.0	1.0	1.0	1.0
AB241	1	0.0	0.058823529411764705	12	15	14	12.75	True	1.0	1.0	1.0	1.0
AB687	1	0.5	0.012048192771084338	20	21	21	20.24390243902439	True	1.0	1.0	1.0	1.0
AC748	0	1.0	0.044444444444444446	36	44	40	37.674418604651166	False				
AA979	0	1.0	0.05454545454545454	21	27	24	22.211538461538463	False				
AA324	1	0.6666666666666666	0.13548387096774195	25	46	36	28.917910447761198	True	1.0	1.0	1.0	1.0
AA974	0	1.0	0.020833333333333332	16	17	17	16.340425531914892	False				
AC120	1	0.8333333333333334	0.20202020202020202	22	42	32	27.569620253164558	True	1.0	1.0	1.0	1.0
AA282	1	0.8333333333333334	0.15384615384615385	23	55	39	27.181818181818183	True	1.0	1.0	1.0	1.0
AD092	2	0.0	0.2	1	2	2	1.25	True	0.0	0.0	0.0	0.0
AA147	0	1.0	0.059322033898305086	22	29	26	23.38738738738739	False				
AD158	1	0.6666666666666666	0.11764705882352941	14	22	18	15.866666666666667	True	1.0	1.0	1.0	1.0
AA552	6	0.42424242424242425	0.2775	21	132	77	29.065743944636676	False				
AE235	0	0.0	0.0	8	8	8	8.0	False				
AC511	0	1.0	0.08	8	10	9	8.695652173913043	False				
AA735	0	1.0	0.21348314606741572	16	35	26	20.34285714285714	False				
AA942	0	1.0	0.06051873198847262	11	32	22	11.708588957055216	False				
AA998	1	0.8571428571428571	0.35051546391752575	23	91	57	35.41269841269841	True	1.0	1.0	1.0	1.0
AE334	2	0.6	0.06666666666666667	7	8	8	7.5	True	1.0	1.0	1.0	1.0
AB728	0	1.0	0.14285714285714285	3	4	4	3.5	False				
AB633	0	0.0	0.11538461538461539	9	12	11	10.17391304347826	False				
AD080	0	0.0	0.07142857142857142	4	5	5	4.3076923076923075	False				
AD279	1	0.0	0.0	7	7	7	7.0	True	1.0	1.0	1.0	1.0
AC596	0	0.0	0.4	3	5	4	5.0	False				
AB337	2	0.0	0.0	10	10	10	10.0	True	1.0	1.0	1.0	1.0
AD350	1	0.5	0.2222222222222222	5	7	6	6.428571428571428	True	1.0	1.0	1.0	1.0
AA423	0	1.0	0.06666666666666667	5	6	6	5.357142857142857	False				
AG445	1	0.6666666666666666	0.10810810810810811	6	18	12	6.727272727272727	True	1.0	1.0	1.0	1.0
AD280	1	0.0	0.08695652173913043	9	11	10	9.857142857142858	True	1.0	1.0	1.0	1.0
AB542	0	0.0	0.07894736842105263	6	9	8	6.514285714285714	False				
AA766	0	0.0	0.0	5	5	5	5.0	False				
AA839	0	1.0	0.14285714285714285	2	3	3	2.3333333333333335	False				
AG098	0	1.0	0.0	0	0	0	0.0	False				
AG009	0	0.0	0.0	2	2	2	2.0	False				
AB155	0	1.0	0.2916666666666667	6	13	10	8.470588235294116	False				
AE252	1	0.5	0.125	3	4	4	3.4285714285714284	True	1.0	1.0	1.0	1.0
AC612	0	0.0	0.0	1	1	1	1.0	False				
AC686	1	0.0	0.2	9	18	14	11.25	True	1.0	1.0	1.0	1.0
AB408	0	0.0	0.07142857142857142	6	7	7	6.461538461538462	False				
AC847	0	0.0	0.0	5	5	5	5.0	False				
AD552	0	0.0	0.0	1	1	1	1.0	False				
AB093	0	0.0	0.0	1	1	1	1.0	False				
AD553	0	0.0	0.0	1	1	1	1.0	False				
AC784	0	0.0	0.0	1	1	1	1.0	False				
